On February 11 , FireEye identified a zero-day exploit ( CVE-2014-0322 ) being served up from the U.S. Veterans of Foreign Wars ' website ( vfw [ . ] org ) .
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Action	O
0	5	TOKEN0,Entity	O
0	6	TOKEN0,Modifier	O
0	7	TOKEN0,Entity	O
1	2	Action,Entity	ActionObj
1	3	Action,Entity	O
1	4	Action,Action	O
1	5	Action,Entity	O
1	6	Action,Modifier	O
1	7	Action,Entity	O
2	1	Entity,Action	O
2	3	Entity,Entity	O
2	4	Entity,Action	O
2	5	Entity,Entity	O
2	6	Entity,Modifier	O
2	7	Entity,Entity	O
3	1	Entity,Action	O
3	4	Entity,Action	SubjAction
3	4	Entity,Action	O
3	5	Entity,Entity	O
3	6	Entity,Modifier	O
3	7	Entity,Entity	O
4	1	Action,Action	O
4	2	Action,Entity	O
4	3	Action,Entity	ActionObj
4	5	Action,Entity	ActionObj
4	6	Action,Modifier	O
4	7	Action,Entity	O
5	1	Entity,Action	O
5	2	Entity,Entity	O
5	3	Entity,Entity	O
5	4	Entity,Action	O
5	6	Entity,Modifier	O
5	7	Entity,Entity	O
6	1	Modifier,Action	O
6	2	Modifier,Entity	O
6	3	Modifier,Entity	O
6	4	Modifier,Action	O
6	7	Modifier,Entity	ModObj
6	7	Modifier,Entity	O
7	1	Entity,Action	O
7	2	Entity,Entity	O
7	3	Entity,Entity	O
7	4	Entity,Action	O
7	5	Entity,Entity	O
7	6	Entity,Modifier	O

The observed malicious activity relates to the modification of a file that controls GOM Player updates , spanning the date range 27th December 2013 to 16th January 2014 , during which time these alterations are reported to have only manifested themselves for visitors on certain IP ranges ; evidence supporting this claim has not yet been made public .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Modifier	O
1	5	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Modifier	O
2	5	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Modifier	O
3	5	Entity,Entity	O
4	1	Modifier,Entity	O
4	2	Modifier,Action	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	4	Entity,Modifier	O

If this was indeed the case , then the nature of this attack is certainly more targeted than one that would cover the entire userbase of the GOM Player product , with victims comprising of the Japanese Government in addition to those at the Monju nuclear facility .

The modified file redirected the GOM Player update process to another compromised server ( www.fudousankaitori.jp ( 203.189.101.35 ) ) , where a file containing both the legitimate update and the malware was deliver to the victim .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

Deployed to the system via a compressed bundle containing the official GOM Player setup binary and a self-extracting RAR archive containing the malicious files , the malware consists of a number of individual pieces .
0	1	TOKEN0,Action	O
0	2	TOKEN0,Modifier	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Modifier	O
0	5	TOKEN0,Entity	O
1	2	Action,Modifier	ActionMod
1	3	Action,Entity	O
1	4	Action,Modifier	O
1	5	Action,Entity	O
2	3	Modifier,Entity	ModObj
2	3	Modifier,Entity	O
2	4	Modifier,Modifier	O
2	5	Modifier,Entity	O
3	1	Entity,Action	O
3	2	Entity,Modifier	O
3	4	Entity,Modifier	O
3	5	Entity,Entity	O
4	1	Modifier,Action	O
4	2	Modifier,Modifier	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
5	1	Entity,Action	O
5	2	Entity,Modifier	O
5	3	Entity,Entity	O
5	4	Entity,Modifier	O

Upon extraction from the RAR archive , the installer component ( 0ae82fd94836815a1e8d284ccb75109d ) is automatically launched alongside the GOM Player update , distracting victims from the malicious activity taking place .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

The installer component is referred to by the author as 'miansha ' which , according to an East Asia Cyber Threat Intelligence Researcher , is likely Miǎnshā ( 免杀 ) , a phrase commonly used by People 's Republic of China ( PRC ) hackers to mean 'anti Antivirus detection ' or 'Antivirus avoidance ' ; Symantec have named the detection for this code 'Backdoor.Miancha ' , where Miǎnchá ( 免查 , likely shorthand for 免杀查 ) similarly means 'Antivirus avoidance ' .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Entity	O
0	5	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Entity	O
1	5	Entity,Action	O
1	6	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Entity	O
2	5	Action,Action	O
2	6	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Entity	O
3	5	Entity,Action	O
3	6	Entity,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	5	Entity,Action	SubjAction
4	5	Entity,Action	O
4	6	Entity,Entity	O
5	1	Action,Entity	O
5	2	Action,Action	O
5	3	Action,Entity	O
5	4	Action,Entity	ActionObj
5	6	Action,Entity	O
6	1	Entity,Entity	O
6	2	Entity,Action	O
6	3	Entity,Entity	O
6	4	Entity,Entity	O
6	5	Entity,Action	O

The installer is responsible for the malware persistence mechanism , adding entries to the registry in the following locations , depending on Windows Version : The installer will also determine the system architecture ( 32- or 64-bit ) and then deobfuscate the relevant loader DLL to the path 'C : \Windows\temp\install.ocx ' , ensuring the malware is launched on system start-up .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Action	O
0	5	TOKEN0,Entity	O
0	6	TOKEN0,Modifier	O
0	7	TOKEN0,Entity	O
0	8	TOKEN0,Modifier	O
0	9	TOKEN0,Entity	O
0	10	TOKEN0,Entity	O
0	11	TOKEN0,Action	O
0	12	TOKEN0,Entity	O
0	13	TOKEN0,Action	O
0	14	TOKEN0,Entity	O
0	15	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Action	O
1	5	Entity,Entity	O
1	6	Entity,Modifier	O
1	7	Entity,Entity	O
1	8	Entity,Modifier	O
1	9	Entity,Entity	O
1	10	Entity,Entity	O
1	11	Entity,Action	O
1	12	Entity,Entity	O
1	13	Entity,Action	O
1	14	Entity,Entity	O
1	15	Entity,Action	O
1	16	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Action	O
2	5	Action,Entity	O
2	6	Action,Modifier	O
2	7	Action,Entity	O
2	8	Action,Modifier	O
2	9	Action,Entity	O
2	10	Action,Entity	O
2	11	Action,Action	O
2	12	Action,Entity	O
2	13	Action,Action	O
2	14	Action,Entity	O
2	15	Action,Action	O
2	16	Action,Entity	O
3	1	Entity,Entity	O
3	4	Entity,Action	SubjAction
3	4	Entity,Action	O
3	5	Entity,Entity	O
3	6	Entity,Modifier	O
3	7	Entity,Entity	O
3	8	Entity,Modifier	O
3	9	Entity,Entity	O
3	10	Entity,Entity	O
3	11	Entity,Action	O
3	12	Entity,Entity	O
3	13	Entity,Action	O
3	14	Entity,Entity	O
3	15	Entity,Action	O
3	16	Entity,Entity	O
4	1	Action,Entity	O
4	2	Action,Action	O
4	3	Action,Entity	ActionObj
4	5	Action,Entity	ActionObj
4	6	Action,Modifier	O
4	7	Action,Entity	O
4	8	Action,Modifier	O
4	9	Action,Entity	O
4	10	Action,Entity	O
4	11	Action,Action	O
4	12	Action,Entity	O
4	13	Action,Action	O
4	14	Action,Entity	O
4	15	Action,Action	O
4	16	Action,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	4	Entity,Action	O
5	6	Entity,Modifier	O
5	7	Entity,Entity	O
5	8	Entity,Modifier	O
5	9	Entity,Entity	O
5	10	Entity,Entity	O
5	11	Entity,Action	O
5	12	Entity,Entity	O
5	13	Entity,Action	O
5	14	Entity,Entity	O
5	15	Entity,Action	O
5	16	Entity,Entity	O
6	1	Modifier,Entity	O
6	2	Modifier,Action	O
6	3	Modifier,Entity	O
6	4	Modifier,Action	O
6	7	Modifier,Entity	ModObj
6	7	Modifier,Entity	O
6	8	Modifier,Modifier	O
6	9	Modifier,Entity	O
6	10	Modifier,Entity	O
6	11	Modifier,Action	O
6	12	Modifier,Entity	O
6	13	Modifier,Action	O
6	14	Modifier,Entity	O
6	15	Modifier,Action	O
6	16	Modifier,Entity	O
7	1	Entity,Entity	O
7	2	Entity,Action	O
7	3	Entity,Entity	O
7	4	Entity,Action	O
7	5	Entity,Entity	O
7	6	Entity,Modifier	O
7	8	Entity,Modifier	O
7	9	Entity,Entity	O
7	10	Entity,Entity	O
7	11	Entity,Action	O
7	12	Entity,Entity	O
7	13	Entity,Action	O
7	14	Entity,Entity	O
7	15	Entity,Action	O
7	16	Entity,Entity	O
8	1	Modifier,Entity	O
8	2	Modifier,Action	O
8	3	Modifier,Entity	O
8	4	Modifier,Action	O
8	5	Modifier,Entity	O
8	6	Modifier,Modifier	O
8	9	Modifier,Entity	ModObj
8	9	Modifier,Entity	O
8	10	Modifier,Entity	O
8	11	Modifier,Action	O
8	12	Modifier,Entity	O
8	13	Modifier,Action	O
8	14	Modifier,Entity	O
8	15	Modifier,Action	O
8	16	Modifier,Entity	O
9	1	Entity,Entity	O
9	2	Entity,Action	O
9	3	Entity,Entity	O
9	4	Entity,Action	O
9	5	Entity,Entity	O
9	6	Entity,Modifier	O
9	7	Entity,Entity	O
9	8	Entity,Modifier	O
9	10	Entity,Entity	O
9	11	Entity,Action	O
9	12	Entity,Entity	O
9	13	Entity,Action	O
9	14	Entity,Entity	O
9	15	Entity,Action	O
9	16	Entity,Entity	O
10	1	Entity,Entity	O
10	2	Entity,Action	O
10	3	Entity,Entity	O
10	4	Entity,Action	O
10	5	Entity,Entity	O
10	6	Entity,Modifier	O
10	7	Entity,Entity	O
10	8	Entity,Modifier	O
10	11	Entity,Action	SubjAction
10	11	Entity,Action	O
10	12	Entity,Entity	O
10	13	Entity,Action	O
10	14	Entity,Entity	O
10	15	Entity,Action	O
10	16	Entity,Entity	O
11	1	Action,Entity	O
11	2	Action,Action	O
11	3	Action,Entity	O
11	4	Action,Action	O
11	5	Action,Entity	O
11	6	Action,Modifier	O
11	7	Action,Entity	O
11	8	Action,Modifier	O
11	9	Action,Entity	O
11	10	Action,Entity	ActionObj
11	12	Action,Entity	ActionObj
11	13	Action,Action	O
11	14	Action,Entity	O
11	15	Action,Action	O
11	16	Action,Entity	O
12	1	Entity,Entity	O
12	2	Entity,Action	O
12	3	Entity,Entity	O
12	4	Entity,Action	O
12	5	Entity,Entity	O
12	6	Entity,Modifier	O
12	7	Entity,Entity	O
12	8	Entity,Modifier	O
12	9	Entity,Entity	O
12	10	Entity,Entity	O
12	13	Entity,Action	SubjAction
12	13	Entity,Action	O
12	14	Entity,Entity	O
12	15	Entity,Action	O
12	16	Entity,Entity	O
13	1	Action,Entity	O
13	2	Action,Action	O
13	3	Action,Entity	O
13	4	Action,Action	O
13	5	Action,Entity	O
13	6	Action,Modifier	O
13	7	Action,Entity	O
13	8	Action,Modifier	O
13	9	Action,Entity	O
13	10	Action,Entity	O
13	11	Action,Action	O
13	12	Action,Entity	ActionObj
13	14	Action,Entity	ActionObj
13	15	Action,Action	O
13	16	Action,Entity	O
14	1	Entity,Entity	O
14	2	Entity,Action	O
14	3	Entity,Entity	O
14	4	Entity,Action	O
14	5	Entity,Entity	O
14	6	Entity,Modifier	O
14	7	Entity,Entity	O
14	8	Entity,Modifier	O
14	9	Entity,Entity	O
14	10	Entity,Entity	O
14	11	Entity,Action	O
14	12	Entity,Entity	O
14	15	Entity,Action	SubjAction
14	15	Entity,Action	O
14	16	Entity,Entity	O
15	1	Action,Entity	O
15	2	Action,Action	O
15	3	Action,Entity	O
15	4	Action,Action	O
15	5	Action,Entity	O
15	6	Action,Modifier	O
15	7	Action,Entity	O
15	8	Action,Modifier	O
15	9	Action,Entity	O
15	10	Action,Entity	O
15	11	Action,Action	O
15	12	Action,Entity	O
15	13	Action,Action	O
15	14	Action,Entity	ActionObj
15	16	Action,Entity	O
16	1	Entity,Entity	O
16	2	Entity,Action	O
16	3	Entity,Entity	O
16	4	Entity,Action	O
16	5	Entity,Entity	O
16	6	Entity,Modifier	O
16	7	Entity,Entity	O
16	8	Entity,Modifier	O
16	9	Entity,Entity	O
16	10	Entity,Entity	O
16	11	Entity,Action	O
16	12	Entity,Entity	O
16	13	Entity,Action	O
16	14	Entity,Entity	O
16	15	Entity,Action	O

Oddly , this file is padded with null bytes , resulting in a 25 megabyte file .

The main implant code is stored in files named instructions.pdf and instructions64.pdf ; not PDF documents but instead DLLs obfuscated with a one-byte XOR with 0x14 , similar to the malware loader DLLs .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

The loader , referred to by the malware author as 壳 ( shell ) , reads and deobfuscates the main implant code which then communicates with the attacker-controlled server at testqweasd.tk ( 211.43.220.89 ) on TCP port 443 .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Action	O
0	4	TOKEN0,Entity	O
0	5	TOKEN0,Action	O
0	6	TOKEN0,Modifier	O
0	7	TOKEN0,Entity	O
0	8	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Action	O
1	4	Entity,Entity	O
1	5	Entity,Action	O
1	6	Entity,Modifier	O
1	7	Entity,Entity	O
1	8	Entity,Modifier	O
1	9	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Action	O
2	4	Action,Entity	O
2	5	Action,Action	O
2	6	Action,Modifier	O
2	7	Action,Entity	O
2	8	Action,Modifier	O
2	9	Action,Entity	O
3	1	Action,Entity	ActionObj
3	2	Action,Action	O
3	4	Action,Entity	ActionObj
3	5	Action,Action	O
3	6	Action,Modifier	O
3	7	Action,Entity	O
3	8	Action,Modifier	O
3	9	Action,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	5	Entity,Action	SubjAction
4	5	Entity,Action	O
4	6	Entity,Modifier	O
4	7	Entity,Entity	O
4	8	Entity,Modifier	O
4	9	Entity,Entity	O
5	1	Action,Entity	O
5	2	Action,Action	O
5	3	Action,Action	O
5	4	Action,Entity	ActionObj
5	6	Action,Modifier	ActionMod
5	7	Action,Entity	O
5	8	Action,Modifier	O
5	9	Action,Entity	O
6	1	Modifier,Entity	O
6	2	Modifier,Action	O
6	3	Modifier,Action	O
6	4	Modifier,Entity	O
6	7	Modifier,Entity	ModObj
6	7	Modifier,Entity	O
6	8	Modifier,Modifier	O
6	9	Modifier,Entity	O
7	1	Entity,Entity	O
7	2	Entity,Action	O
7	3	Entity,Action	O
7	4	Entity,Entity	O
7	5	Entity,Action	O
7	6	Entity,Modifier	O
7	8	Entity,Modifier	O
7	9	Entity,Entity	O
8	1	Modifier,Entity	O
8	2	Modifier,Action	O
8	3	Modifier,Action	O
8	4	Modifier,Entity	O
8	5	Modifier,Action	O
8	6	Modifier,Modifier	O
8	9	Modifier,Entity	ModObj
8	9	Modifier,Entity	O
9	1	Entity,Entity	O
9	2	Entity,Action	O
9	3	Entity,Action	O
9	4	Entity,Entity	O
9	5	Entity,Action	O
9	6	Entity,Modifier	O
9	7	Entity,Entity	O
9	8	Entity,Modifier	O

The main implant code is referred to as 白加黑 ( 'Black on White ' ) , a term used in the PRC hacking community to denote the act of Antivirus avoidance through the loading of malicious 'black ' code via non-malicious or trusted 'white ' code .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O

This is a practice recently illustrated through the deployment of the PlugX trojan , utilising DLL load order hijacking alongside a signed ( trusted ) executable .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

Analysis of this malware revealed it to be a variant of the Gh0st RAT , often used by Chinese actors ( including those who are state-motivated or directly state-sponsored ) .

This specific variant shows similarities to that used during the VOHO campaign , where Gh0st RAT was spread via watering hole attacks utilising vulnerable websites belonging to financial services and technology companies .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

Specifically , the initial five bytes of the communications ( often used to denote a campaign or victim ) are 'HTTPS ' , amended from the original 'Gh0st ' ; the same as the traffic produced by the VOHO Gh0st variant .

In addition to delivering system-specific details back to the attacker , Gh0st RAT provides the capability to deploy additional malware , enabling the harvesting of sensitive data and enabling the further propagation throughout the infected network .
0	1	TOKEN0,Action	O
0	2	TOKEN0,Entity	O
0	3	TOKEN0,Modifier	O
0	4	TOKEN0,Entity	O
0	5	TOKEN0,Action	O
0	6	TOKEN0,Entity	O
0	7	TOKEN0,Action	O
0	8	TOKEN0,Entity	O
0	9	TOKEN0,Action	O
0	10	TOKEN0,Entity	O
1	2	Action,Entity	ActionObj
1	3	Action,Modifier	O
1	4	Action,Entity	O
1	5	Action,Action	O
1	6	Action,Entity	O
1	7	Action,Action	O
1	8	Action,Entity	O
1	9	Action,Action	O
1	10	Action,Entity	O
2	1	Entity,Action	O
2	3	Entity,Modifier	O
2	4	Entity,Entity	O
2	5	Entity,Action	O
2	6	Entity,Entity	O
2	7	Entity,Action	O
2	8	Entity,Entity	O
2	9	Entity,Action	O
2	10	Entity,Entity	O
3	1	Modifier,Action	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
3	5	Modifier,Action	O
3	6	Modifier,Entity	O
3	7	Modifier,Action	O
3	8	Modifier,Entity	O
3	9	Modifier,Action	O
3	10	Modifier,Entity	O
4	1	Entity,Action	O
4	2	Entity,Entity	O
4	5	Entity,Action	SubjAction
4	5	Entity,Action	O
4	6	Entity,Entity	O
4	7	Entity,Action	O
4	8	Entity,Entity	O
4	9	Entity,Action	O
4	10	Entity,Entity	O
5	1	Action,Action	O
5	2	Action,Entity	O
5	3	Action,Modifier	O
5	4	Action,Entity	ActionObj
5	6	Action,Entity	ActionObj
5	7	Action,Action	O
5	8	Action,Entity	O
5	9	Action,Action	O
5	10	Action,Entity	O
6	1	Entity,Action	O
6	2	Entity,Entity	O
6	3	Entity,Modifier	O
6	4	Entity,Entity	O
6	7	Entity,Action	SubjAction
6	7	Entity,Action	O
6	8	Entity,Entity	O
6	9	Entity,Action	O
6	10	Entity,Entity	O
7	1	Action,Action	O
7	2	Action,Entity	O
7	3	Action,Modifier	O
7	4	Action,Entity	O
7	5	Action,Action	O
7	6	Action,Entity	ActionObj
7	8	Action,Entity	ActionObj
7	9	Action,Action	O
7	10	Action,Entity	O
8	1	Entity,Action	O
8	2	Entity,Entity	O
8	3	Entity,Modifier	O
8	4	Entity,Entity	O
8	5	Entity,Action	O
8	6	Entity,Entity	O
8	9	Entity,Action	SubjAction
8	9	Entity,Action	O
8	10	Entity,Entity	O
9	1	Action,Action	O
9	2	Action,Entity	O
9	3	Action,Modifier	O
9	4	Action,Entity	O
9	5	Action,Action	O
9	6	Action,Entity	O
9	7	Action,Action	O
9	8	Action,Entity	ActionObj
9	10	Action,Entity	O
10	1	Entity,Action	O
10	2	Entity,Entity	O
10	3	Entity,Modifier	O
10	4	Entity,Entity	O
10	5	Entity,Action	O
10	6	Entity,Entity	O
10	7	Entity,Action	O
10	8	Entity,Entity	O
10	9	Entity,Action	O

 To enable rapid response , the following Snort signature can be deployed : Additionally , the following Yara signature should identify both encoded payloads and the active implant in memory :

